time,xg,yg,zg,ug,vg,wg,phi,theta,psi
0.825,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.83,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.835,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.84,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.845,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.85,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.855,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.86,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.865,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.87,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.875,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.88,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.885,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.89,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.895,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.9,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.905,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.91,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.915,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.92,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.925,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.93,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.935,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.94,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.945,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.95,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.955,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.96,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.965,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.97,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.975,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.98,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.985,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.99,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.995,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.005,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.01,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.015,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.02,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.025,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.03,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.035,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.04,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.045,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.05,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.055,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.06,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.065,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.07,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.075,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.08,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.085,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.09,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.095,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.1,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.105,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.11,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.115,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.12,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.125,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.13,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.135,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.14,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.145,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.15,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.155,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.16,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.165,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.17,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.175,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.18,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.185,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.19,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
